"","window","bayes_factor","is_sig","mean_a","mean_b","sd_a","sd_b","log2_fold_change","a","b"
"1","Chr1:245951-246000",-0.574948224705359,FALSE,58.7891954679744,57.710508003008,17.24409356657,33.4691331003608,0.0267170041587072,"col_mock","control"
"2","Chr1:246001-246050",-0.311312995896685,FALSE,106.328620606717,64.3684425613319,50.984784989321,51.9518757275014,0.724104513770856,"col_mock","control"
"3","Chr1:246051-246100",-0.37208458626121,FALSE,223.901472214167,148.129009185635,42.7906691103071,145.750857138752,0.596009812539667,"col_mock","control"
"4","Chr1:246101-246150",0.160837748059752,FALSE,210.347678327235,82.9328448792367,77.7792722739925,89.3363852259614,1.34276040706782,"col_mock","control"
"5","Chr1:246151-246200",-0.502145008519884,FALSE,272.775241683631,211.415437299253,139.595630770459,158.029591826673,0.367631980356359,"col_mock","control"
"6","Chr1:246201-246250",-0.104150367746934,FALSE,270.886784495555,147.113288117566,78.3117414252153,131.636397984985,0.8807624468356,"col_mock","control"
"7","Chr1:246251-246300",-0.466954084805034,FALSE,155.778261474101,209.92409775698,134.919740866968,69.5715116292303,-0.430373864602628,"col_mock","control"
"8","Chr1:246301-246350",-0.548219883300413,FALSE,391.074524456,346.876478710074,171.398885712308,183.55302993125,0.173021542003274,"col_mock","control"
"9","Chr1:246351-246400",0.0299916223783181,FALSE,472.45139706137,247.509095299821,192.849846789364,139.349023652145,0.932684379872821,"col_mock","control"
"10","Chr1:246401-246450",-0.528073616333228,FALSE,226.191677428588,262.942197149236,144.674257640154,63.2083419729138,-0.217199837947526,"col_mock","control"
"11","Chr1:246451-246500",-0.565673999095558,FALSE,180.13779227043,193.085446961923,120.3596974132,21.9106999136184,-0.100138545751454,"col_mock","control"
"12","Chr1:246501-246550",-0.574829470061858,FALSE,221.722642094213,227.22960101156,166.380341507953,64.288398513152,-0.0353946814694917,"col_mock","control"
"13","Chr1:246551-246600",-0.509890083473492,FALSE,255.506714353301,209.723928848764,71.2206541780729,150.634232721828,0.284869725788056,"col_mock","control"
"14","Chr1:246601-246650",0.900647665965787,FALSE,341.864019508662,133.935224904734,10.3188983866652,113.621546190149,1.35188715132691,"col_mock","control"
"15","Chr1:246651-246700",0.913486881204295,FALSE,65.3247938374365,21.3309684614111,9.09149262903039,22.1676817769287,1.61468119854439,"col_mock","control"
"16","Chr1:246751-246800",0.00249611546255935,FALSE,121.485051431571,71.650383086348,48.5083616990159,24.4106457197492,0.761732479970026,"col_mock","control"
"17","Chr1:246801-246850",-0.204408439490936,FALSE,207.764579727416,321.89558221893,58.9859008969413,151.912273154178,-0.63164305640156,"col_mock","control"
"18","Chr1:246851-246900",-0.261920042488077,FALSE,132.683049398811,227.451537865652,46.7211547891662,141.679734856319,-0.777575114667166,"col_mock","control"
"19","Chr1:246901-246950",-0.273874689390392,FALSE,152.885534666289,283.988943715972,149.671797473668,148.749560727931,-0.893382851770578,"col_mock","control"
"20","Chr1:246951-247000",-0.231302773440722,FALSE,264.13338143814,154.239663131954,103.782244622067,126.922118982929,0.776092836497107,"col_mock","control"
"21","Chr1:247001-247050",0.59925257209852,FALSE,134.2819825497,273.579034643188,31.2549627991306,86.7528353488578,-1.02669193312195,"col_mock","control"
"22","Chr1:247051-247100",-0.488842452472544,FALSE,112.726057165051,175.417102920171,62.3343724077635,187.55997253015,-0.637968375482239,"col_mock","control"
"23","Chr1:247151-247200",-0.559743478931648,FALSE,144.139494600089,126.123919302164,93.599891353827,96.8849796043172,0.19262378431523,"col_mock","control"
